X,Y,Index
96.5,2.5,0
98.5,2.5,1
98.5,4.5,2
99.5,5.5,3
101.5,4.5,4
102.5,5.5,5
104.5,4.5,6
105.5,4.5,7
103.5,2.5,8
105.5,6.5,9
104.5,7.5,10
102.5,8.5,11
101.5,8.5,12
99.5,8.5,13
97.5,9.5,14
95.5,8.5,15
94.5,9.5,16
92.5,10.5,17
91.5,9.5,18
89.5,10.5,19
88.5,11.5,20
86.5,10.5,21
85.5,11.5,22
85.5,13.5,23
84.5,14.5,24
82.5,15.5,25
83.5,17.5,26
83.5,19.5,27
85.5,19.5,28
86.5,19.5,29
87.5,17.5,30
89.5,17.5,31
89.5,19.5,32
91.5,19.5,33
92.5,19.5,34
92.5,20.5,35
93.5,20.5,36
95.5,19.5,37
95.5,17.5,38
95.5,15.5,39
93.5,15.5,40
93.5,14.5,41
91.5,13.5,42
90.5,14.5,43
88.5,14.5,44
90.5,13.5,45
89.5,14.5,46
94.5,12.5,47
96.5,12.5,48
98.5,12.5,49
99.5,13.5,50
101.5,13.5,51
101.5,11.5,52
103.5,11.5,53
105.5,10.5,54
104.5,11.5,55
105.5,11.5,56
104.5,12.5,57
104.5,10.5,58
102.5,13.5,59
102.5,12.5,60
103.5,13.5,61
102.5,11.5,62
103.5,12.5,63
101.5,12.5,64
99.5,12.5,65
99.5,11.5,66
100.5,13.5,67
100.5,12.5,68
100.5,11.5,69
97.5,13.5,70
98.5,13.5,71
97.5,12.5,72
95.5,13.5,73
96.5,13.5,74
95.5,12.5,75
92.5,15.5,76
92.5,13.5,77
91.5,14.5,78
94.5,14.5,79
92.5,16.5,80
93.5,13.5,81
92.5,14.5,82
91.5,15.5,83
94.5,13.5,84
97.5,15.5,85
98.5,17.5,86
100.5,18.5,87
101.5,19.5,88
102.5,21.5,89
100.5,22.5,90
99.5,23.5,91
97.5,22.5,92
96.5,23.5,93
94.5,22.5,94
95.5,24.5,95
97.5,25.5,96
99.5,26.5,97
101.5,25.5,98
102.5,26.5,99
104.5,25.5,100
104.5,23.5,101
105.5,23.5,102
106.5,21.5,103
105.5,20.5,104
106.5,18.5,105
104.5,17.5,106
103.5,16.5,107
102.5,15.5,108
100.5,15.5,109
101.5,15.5,110
104.5,15.5,111
106.5,15.5,112
108.5,15.5,113
110.5,15.5,114
111.5,14.5,115
111.5,12.5,116
110.5,11.5,117
108.5,12.5,118
107.5,12.5,119
110.5,9.5,120
111.5,8.5,121
113.5,8.5,122
115.5,8.5,123
116.5,9.5,124
117.5,11.5,125
118.5,10.5,126
118.5,13.5,127
119.5,15.5,128
121.5,16.5,129
123.5,16.5,130
124.5,18.5,131
126.5,19.5,132
127.5,20.5,133
129.5,19.5,134
130.5,18.5,135
130.5,16.5,136
128.5,15.5,137
127.5,15.5,138
127.5,16.5,139
126.5,15.5,140
126.5,16.5,141
129.5,15.5,142
128.5,16.5,143
130.5,15.5,144
131.5,17.5,145
129.5,16.5,146
129.5,17.5,147
131.5,20.5,148
132.5,19.5,149
131.5,22.5,150
130.5,24.5,151
128.5,24.5,152
128.5,26.5,153
129.5,28.5,154
130.5,30.5,155
129.5,32.5,156
127.5,31.5,157
126.5,32.5,158
125.5,33.5,159
125.5,35.5,160
124.5,36.5,161
124.5,38.5,162
125.5,39.5,163
127.5,38.5,164
128.5,39.5,165
130.5,38.5,166
131.5,39.5,167
133.5,38.5,168
134.5,39.5,169
135.5,41.5,170
135.5,43.5,171
137.5,44.5,172
137.5,46.5,173
135.5,46.5,174
134.5,46.5,175
132.5,46.5,176
131.5,48.5,177
133.5,49.5,178
134.5,48.5,179
136.5,48.5,180
137.5,48.5,181
139.5,49.5,182
140.5,50.5,183
142.5,51.5,184
144.5,52.5,185
143.5,54.5,186
142.5,56.5,187
140.5,57.5,188
141.5,59.5,189
142.5,59.5,190
144.5,58.5,191
146.5,57.5,192
147.5,59.5,193
147.5,61.5,194
148.5,63.5,195
149.5,64.5,196
149.5,66.5,197
150.5,68.5,198
150.5,70.5,199
152.5,71.5,200
153.5,70.5,201
154.5,69.5,202
156.5,70.5,203
157.5,72.5,204
156.5,74.5,205
158.5,75.5,206
158.5,77.5,207
157.5,78.5,208
157.5,80.5,209
159.5,80.5,210
160.5,80.5,211
161.5,82.5,212
159.5,83.5,213
162.5,83.5,214
162.5,85.5,215
163.5,86.5,216
162.5,88.5,217
162.5,90.5,218
162.5,92.5,219
163.5,93.5,220
165.5,92.5,221
166.5,91.5,222
168.5,92.5,223
169.5,91.5,224
169.5,89.5,225
169.5,88.5,226
167.5,88.5,227
166.5,87.5,228
166.5,85.5,229
165.5,83.5,230
165.5,81.5,231
166.5,80.5,232
166.5,78.5,233
167.5,77.5,234
169.5,78.5,235
169.5,80.5,236
171.5,81.5,237
171.5,82.5,238
170.5,82.5,239
169.5,83.5,240
169.5,85.5,241
169.5,84.5,242
170.5,83.5,243
168.5,83.5,244
168.5,82.5,245
169.5,81.5,246
171.5,80.5,247
172.5,80.5,248
169.5,82.5,249
170.5,81.5,250
171.5,79.5,251
170.5,80.5,252
170.5,78.5,253
169.5,79.5,254
171.5,78.5,255
170.5,77.5,256
170.5,79.5,257
169.5,76.5,258
169.5,75.5,259
168.5,75.5,260
166.5,74.5,261
164.5,73.5,262
162.5,74.5,263
163.5,76.5,264
161.5,77.5,265
163.5,78.5,266
163.5,79.5,267
162.5,77.5,268
164.5,76.5,269
163.5,77.5,270
162.5,78.5,271
162.5,75.5,272
161.5,72.5,273
162.5,71.5,274
163.5,69.5,275
165.5,70.5,276
166.5,69.5,277
168.5,70.5,278
169.5,69.5,279
171.5,68.5,280
170.5,66.5,281
