X,Y,Index
57.5,8.5,0
57.5,10.5,1
56.5,12.5,2
56.5,13.5,3
57.5,13.5,4
57.5,14.5,5
54.5,13.5,6
53.5,12.5,7
54.5,10.5,8
52.5,9.5,9
53.5,9.5,10
54.5,9.5,11
52.5,10.5,12
53.5,10.5,13
52.5,11.5,14
53.5,11.5,15
52.5,13.5,16
50.5,13.5,17
50.5,14.5,18
48.5,14.5,19
47.5,14.5,20
45.5,14.5,21
44.5,15.5,22
43.5,17.5,23
42.5,19.5,24
43.5,21.5,25
43.5,23.5,26
42.5,25.5,27
41.5,27.5,28
43.5,28.5,29
44.5,27.5,30
46.5,26.5,31
46.5,25.5,32
46.5,23.5,33
48.5,22.5,34
50.5,23.5,35
51.5,22.5,36
53.5,23.5,37
54.5,22.5,38
56.5,21.5,39
57.5,22.5,40
59.5,23.5,41
60.5,25.5,42
61.5,26.5,43
63.5,25.5,44
64.5,26.5,45
66.5,25.5,46
67.5,26.5,47
69.5,25.5,48
70.5,26.5,49
72.5,25.5,50
73.5,26.5,51
75.5,25.5,52
76.5,26.5,53
78.5,25.5,54
79.5,24.5,55
81.5,25.5,56
82.5,26.5,57
83.5,28.5,58
83.5,30.5,59
83.5,32.5,60
85.5,33.5,61
86.5,32.5,62
88.5,33.5,63
86.5,30.5,64
86.5,28.5,65
87.5,27.5,66
87.5,25.5,67
85.5,24.5,68
84.5,23.5,69
84.5,21.5,70
83.5,19.5,71
83.5,17.5,72
82.5,15.5,73
82.5,13.5,74
80.5,13.5,75
79.5,14.5,76
78.5,16.5,77
76.5,15.5,78
75.5,16.5,79
73.5,15.5,80
72.5,16.5,81
70.5,15.5,82
69.5,16.5,83
69.5,18.5,84
71.5,19.5,85
72.5,21.5,86
73.5,22.5,87
75.5,21.5,88
74.5,19.5,89
76.5,22.5,90
78.5,21.5,91
77.5,19.5,92
79.5,20.5,93
80.5,19.5,94
81.5,21.5,95
81.5,22.5,96
80.5,18.5,97
78.5,19.5,98
79.5,21.5,99
80.5,20.5,100
79.5,19.5,101
78.5,20.5,102
80.5,21.5,103
76.5,20.5,104
75.5,19.5,105
77.5,22.5,106
76.5,21.5,107
77.5,20.5,108
76.5,19.5,109
77.5,21.5,110
75.5,20.5,111
75.5,22.5,112
70.5,22.5,113
68.5,21.5,114
66.5,20.5,115
66.5,18.5,116
66.5,16.5,117
64.5,15.5,118
63.5,16.5,119
63.5,18.5,120
63.5,20.5,121
62.5,21.5,122
60.5,20.5,123
60.5,18.5,124
60.5,16.5,125
58.5,16.5,126
58.5,15.5,127
59.5,17.5,128
57.5,18.5,129
56.5,18.5,130
54.5,19.5,131
53.5,19.5,132
51.5,18.5,133
50.5,19.5,134
48.5,19.5,135
47.5,19.5,136
48.5,18.5,137
50.5,18.5,138
49.5,19.5,139
49.5,18.5,140
51.5,19.5,141
52.5,17.5,142
53.5,17.5,143
52.5,18.5,144
53.5,18.5,145
52.5,19.5,146
54.5,18.5,147
54.5,17.5,148
56.5,17.5,149
55.5,18.5,150
55.5,17.5,151
57.5,17.5,152
58.5,18.5,153
60.5,17.5,154
59.5,16.5,155
58.5,17.5,156
59.5,19.5,157
60.5,19.5,158
59.5,20.5,159
59.5,18.5,160
58.5,19.5,161
64.5,22.5,162
63.5,21.5,163
61.5,20.5,164
62.5,22.5,165
61.5,21.5,166
63.5,22.5,167
62.5,19.5,168
61.5,18.5,169
63.5,19.5,170
62.5,20.5,171
61.5,19.5,172
61.5,15.5,173
61.5,14.5,174
62.5,17.5,175
61.5,16.5,176
62.5,18.5,177
61.5,17.5,178
64.5,13.5,179
64.5,11.5,180
65.5,10.5,181
67.5,11.5,182
67.5,13.5,183
68.5,10.5,184
70.5,11.5,185
71.5,10.5,186
73.5,11.5,187
74.5,10.5,188
76.5,10.5,189
76.5,12.5,190
77.5,11.5,191
78.5,11.5,192
77.5,12.5,193
76.5,11.5,194
75.5,12.5,195
74.5,11.5,196
75.5,10.5,197
74.5,9.5,198
73.5,12.5,199
75.5,11.5,200
74.5,12.5,201
71.5,8.5,202
73.5,9.5,203
72.5,8.5,204
73.5,10.5,205
70.5,8.5,206
72.5,9.5,207
72.5,12.5,208
