X,Y,Index
141.5,6.5,0
143.5,7.5,1
144.5,6.5,2
146.5,7.5,3
146.5,8.5,4
147.5,10.5,5
146.5,11.5,6
146.5,13.5,7
148.5,14.5,8
150.5,15.5,9
150.5,17.5,10
150.5,19.5,11
152.5,20.5,12
153.5,19.5,13
153.5,17.5,14
155.5,16.5,15
156.5,17.5,16
156.5,19.5,17
157.5,21.5,18
157.5,23.5,19
158.5,25.5,20
157.5,27.5,21
159.5,28.5,22
160.5,27.5,23
162.5,28.5,24
163.5,27.5,25
165.5,28.5,26
167.5,29.5,27
167.5,31.5,28
169.5,32.5,29
169.5,34.5,30
171.5,35.5,31
171.5,37.5,32
171.5,39.5,33
173.5,40.5,34
174.5,39.5,35
176.5,40.5,36
177.5,39.5,37
179.5,38.5,38
180.5,39.5,39
182.5,40.5,40
183.5,39.5,41
185.5,40.5,42
186.5,39.5,43
188.5,40.5,44
189.5,39.5,45
191.5,40.5,46
192.5,42.5,47
190.5,43.5,48
189.5,44.5,49
189.5,46.5,50
189.5,48.5,51
188.5,49.5,52
186.5,48.5,53
185.5,49.5,54
183.5,48.5,55
182.5,49.5,56
180.5,48.5,57
179.5,49.5,58
177.5,48.5,59
176.5,49.5,60
177.5,46.5,61
175.5,45.5,62
174.5,44.5,63
172.5,45.5,64
172.5,47.5,65
171.5,46.5,66
171.5,44.5,67
169.5,45.5,68
171.5,42.5,69
169.5,41.5,70
168.5,39.5,71
168.5,37.5,72
166.5,36.5,73
165.5,37.5,74
163.5,36.5,75
162.5,37.5,76
160.5,36.5,77
159.5,35.5,78
159.5,33.5,79
157.5,34.5,80
158.5,31.5,81
156.5,30.5,82
155.5,29.5,83
154.5,27.5,84
153.5,27.5,85
155.5,25.5,86
154.5,23.5,87
152.5,23.5,88
151.5,24.5,89
151.5,23.5,90
152.5,25.5,91
152.5,26.5,92
154.5,22.5,93
153.5,23.5,94
152.5,24.5,95
153.5,24.5,96
154.5,24.5,97
153.5,26.5,98
154.5,26.5,99
153.5,28.5,100
153.5,25.5,101
154.5,25.5,102
154.5,28.5,103
155.5,31.5,104
154.5,30.5,105
155.5,30.5,106
155.5,32.5,107
154.5,29.5,108
157.5,30.5,109
156.5,31.5,110
156.5,33.5,111
157.5,31.5,112
156.5,32.5,113
157.5,32.5,114
160.5,32.5,115
161.5,31.5,116
163.5,32.5,117
164.5,31.5,118
165.5,33.5,119
