X,Y,Index
11.5,8.5,0
12.5,10.5,1
14.5,11.5,2
15.5,13.5,3
15.5,15.5,4
17.5,16.5,5
18.5,15.5,6
18.5,13.5,7
18.5,11.5,8
18.5,10.5,9
18.5,8.5,10
16.5,8.5,11
15.5,8.5,12
14.5,8.5,13
17.5,8.5,14
16.5,9.5,15
17.5,9.5,16
18.5,9.5,17
17.5,10.5,18
20.5,11.5,19
21.5,11.5,20
22.5,13.5,21
24.5,13.5,22
24.5,11.5,23
26.5,11.5,24
27.5,11.5,25
28.5,13.5,26
29.5,14.5,27
31.5,15.5,28
31.5,17.5,29
31.5,19.5,30
32.5,21.5,31
32.5,23.5,32
34.5,24.5,33
35.5,23.5,34
36.5,22.5,35
38.5,23.5,36
40.5,24.5,37
41.5,24.5,38
43.5,23.5,39
44.5,22.5,40
42.5,25.5,41
44.5,26.5,42
43.5,28.5,43
44.5,29.5,44
42.5,29.5,45
42.5,28.5,46
43.5,29.5,47
44.5,27.5,48
44.5,28.5,49
42.5,27.5,50
42.5,26.5,51
43.5,27.5,52
43.5,26.5,53
43.5,25.5,54
44.5,24.5,55
44.5,23.5,56
44.5,25.5,57
43.5,22.5,58
42.5,22.5,59
43.5,24.5,60
41.5,23.5,61
42.5,24.5,62
42.5,23.5,63
41.5,22.5,64
40.5,23.5,65
38.5,24.5,66
39.5,22.5,67
38.5,20.5,68
37.5,19.5,69
37.5,17.5,70
39.5,16.5,71
38.5,14.5,72
38.5,12.5,73
37.5,11.5,74
36.5,9.5,75
37.5,8.5,76
39.5,8.5,77
40.5,8.5,78
41.5,10.5,79
41.5,12.5,80
41.5,14.5,81
41.5,15.5,82
42.5,15.5,83
44.5,15.5,84
44.5,13.5,85
44.5,12.5,86
46.5,11.5,87
47.5,12.5,88
49.5,11.5,89
50.5,12.5,90
51.5,13.5,91
53.5,12.5,92
55.5,13.5,93
56.5,14.5,94
57.5,16.5,95
57.5,18.5,96
57.5,20.5,97
57.5,22.5,98
59.5,23.5,99
60.5,25.5,100
61.5,26.5,101
63.5,25.5,102
64.5,26.5,103
66.5,25.5,104
67.5,26.5,105
69.5,25.5,106
70.5,26.5,107
72.5,25.5,108
73.5,26.5,109
75.5,25.5,110
76.5,26.5,111
78.5,25.5,112
79.5,24.5,113
81.5,25.5,114
82.5,26.5,115
83.5,28.5,116
83.5,30.5,117
83.5,32.5,118
85.5,33.5,119
86.5,32.5,120
88.5,33.5,121
89.5,32.5,122
89.5,30.5,123
89.5,28.5,124
90.5,27.5,125
92.5,28.5,126
93.5,27.5,127
95.5,28.5,128
95.5,30.5,129
97.5,31.5,130
98.5,33.5,131
99.5,34.5,132
96.5,34.5,133
94.5,33.5,134
92.5,32.5,135
91.5,34.5,136
90.5,36.5,137
89.5,37.5,138
87.5,36.5,139
86.5,37.5,140
84.5,36.5,141
82.5,36.5,142
81.5,37.5,143
79.5,38.5,144
79.5,37.5,145
79.5,35.5,146
79.5,33.5,147
80.5,32.5,148
80.5,30.5,149
80.5,28.5,150
78.5,28.5,151
77.5,30.5,152
75.5,29.5,153
74.5,30.5,154
74.5,32.5,155
75.5,33.5,156
75.5,34.5,157
76.5,34.5,158
76.5,35.5,159
76.5,33.5,160
74.5,33.5,161
72.5,32.5,162
70.5,32.5,163
70.5,33.5,164
68.5,34.5,165
67.5,35.5,166
68.5,37.5,167
69.5,38.5,168
69.5,40.5,169
70.5,42.5,170
71.5,43.5,171
73.5,44.5,172
73.5,46.5,173
73.5,48.5,174
72.5,49.5,175
70.5,48.5,176
69.5,49.5,177
69.5,51.5,178
71.5,52.5,179
72.5,54.5,180
72.5,56.5,181
73.5,57.5,182
74.5,59.5,183
