X,Y,Index
3.5,3.5,0
5.5,3.5,1
7.5,4.5,2
9.5,5.5,3
8.5,7.5,4
10.5,8.5,5
11.5,7.5,6
13.5,8.5,7
14.5,7.5,8
16.5,8.5,9
18.5,9.5,10
18.5,11.5,11
18.5,13.5,12
18.5,15.5,13
17.5,16.5,14
15.5,15.5,15
14.5,16.5,16
12.5,15.5,17
11.5,16.5,18
9.5,15.5,19
8.5,16.5,20
8.5,18.5,21
10.5,19.5,22
11.5,21.5,23
12.5,22.5,24
12.5,24.5,25
12.5,26.5,26
13.5,28.5,27
11.5,29.5,28
10.5,30.5,29
8.5,29.5,30
7.5,30.5,31
5.5,29.5,32
4.5,30.5,33
3.5,31.5,34
4.5,33.5,35
5.5,35.5,36
6.5,35.5,37
8.5,36.5,38
8.5,38.5,39
8.5,40.5,40
10.5,41.5,41
11.5,40.5,42
11.5,38.5,43
13.5,37.5,44
14.5,38.5,45
15.5,39.5,46
17.5,38.5,47
17.5,36.5,48
15.5,35.5,49
15.5,33.5,50
16.5,32.5,51
18.5,33.5,52
19.5,32.5,53
21.5,33.5,54
22.5,32.5,55
24.5,33.5,56
24.5,35.5,57
25.5,37.5,58
25.5,39.5,59
24.5,40.5,60
22.5,41.5,61
22.5,43.5,62
24.5,44.5,63
25.5,43.5,64
27.5,44.5,65
28.5,43.5,66
30.5,44.5,67
32.5,45.5,68
33.5,44.5,69
34.5,43.5,70
35.5,45.5,71
37.5,45.5,72
37.5,47.5,73
36.5,49.5,74
35.5,51.5,75
34.5,52.5,76
32.5,51.5,77
31.5,52.5,78
29.5,51.5,79
28.5,52.5,80
26.5,51.5,81
25.5,52.5,82
23.5,51.5,83
22.5,52.5,84
20.5,51.5,85
19.5,52.5,86
17.5,51.5,87
17.5,49.5,88
18.5,48.5,89
18.5,46.5,90
18.5,44.5,91
19.5,43.5,92
19.5,41.5,93
17.5,41.5,94
15.5,42.5,95
15.5,44.5,96
15.5,46.5,97
14.5,47.5,98
12.5,48.5,99
13.5,50.5,100
14.5,51.5,101
15.5,53.5,102
17.5,54.5,103
17.5,56.5,104
15.5,57.5,105
14.5,58.5,106
12.5,57.5,107
11.5,58.5,108
9.5,57.5,109
8.5,56.5,110
6.5,57.5,111
5.5,58.5,112
3.5,57.5,113
3.5,55.5,114
4.5,54.5,115
5.5,52.5,116
5.5,51.5,117
5.5,49.5,118
3.5,48.5,119
3.5,47.5,120
5.5,46.5,121
6.5,46.5,122
8.5,47.5,123
8.5,49.5,124
10.5,50.5,125
10.5,52.5,126
8.5,53.5,127
12.5,53.5,128
12.5,54.5,129
9.5,53.5,130
11.5,54.5,131
8.5,52.5,132
10.5,53.5,133
10.5,54.5,134
11.5,53.5,135
11.5,52.5,136
9.5,52.5,137
10.5,51.5,138
8.5,51.5,139
9.5,51.5,140
8.5,50.5,141
9.5,50.5,142
9.5,48.5,143
9.5,46.5,144
9.5,44.5,145
7.5,43.5,146
6.5,42.5,147
5.5,40.5,148
3.5,39.5,149
3.5,38.5,150
3.5,37.5,151
5.5,38.5,152
3.5,40.5,153
3.5,42.5,154
3.5,43.5,155
3.5,44.5,156
4.5,39.5,157
5.5,39.5,158
4.5,40.5,159
4.5,38.5,160
3.5,41.5,161
4.5,43.5,162
4.5,41.5,163
5.5,41.5,164
4.5,42.5,165
5.5,43.5,166
6.5,43.5,167
5.5,42.5,168
8.5,43.5,169
11.5,44.5,170
12.5,44.5,171
12.5,45.5,172
12.5,43.5,173
11.5,45.5,174
10.5,44.5,175
8.5,44.5,176
10.5,45.5,177
9.5,49.5,178
10.5,46.5,179
9.5,47.5,180
9.5,45.5,181
8.5,48.5,182
8.5,45.5,183
7.5,44.5,184
8.5,46.5,185
6.5,44.5,186
5.5,45.5,187
7.5,46.5,188
4.5,44.5,189
6.5,45.5,190
5.5,44.5,191
7.5,47.5,192
7.5,45.5,193
3.5,45.5,194
4.5,45.5,195
3.5,46.5,196
4.5,46.5,197
6.5,48.5,198
5.5,47.5,199
7.5,48.5,200
3.5,49.5,201
4.5,48.5,202
6.5,47.5,203
5.5,48.5,204
7.5,49.5,205
4.5,47.5,206
7.5,50.5,207
6.5,49.5,208
4.5,49.5,209
3.5,50.5,210
7.5,52.5,211
4.5,50.5,212
