X,Y,Index
51.5,2.5,0
53.5,2.5,1
53.5,4.5,2
52.5,6.5,3
51.5,7.5,4
49.5,6.5,5
49.5,5.5,6
50.5,8.5,7
48.5,7.5,8
50.5,10.5,9
50.5,12.5,10
50.5,14.5,11
51.5,16.5,12
53.5,16.5,13
54.5,15.5,14
56.5,14.5,15
56.5,12.5,16
58.5,11.5,17
59.5,11.5,18
60.5,13.5,19
61.5,15.5,20
62.5,16.5,21
64.5,15.5,22
63.5,13.5,23
62.5,11.5,24
62.5,10.5,25
63.5,12.5,26
63.5,11.5,27
64.5,14.5,28
64.5,13.5,29
65.5,15.5,30
65.5,16.5,31
64.5,16.5,32
63.5,14.5,33
63.5,16.5,34
60.5,16.5,35
58.5,16.5,36
59.5,16.5,37
62.5,15.5,38
61.5,16.5,39
63.5,15.5,40
61.5,13.5,41
60.5,14.5,42
59.5,15.5,43
62.5,13.5,44
61.5,14.5,45
60.5,15.5,46
62.5,14.5,47
59.5,14.5,48
62.5,12.5,49
61.5,10.5,50
61.5,12.5,51
61.5,11.5,52
60.5,12.5,53
60.5,11.5,54
58.5,10.5,55
59.5,10.5,56
59.5,12.5,57
59.5,13.5,58
60.5,10.5,59
55.5,11.5,60
53.5,12.5,61
53.5,11.5,62
53.5,9.5,63
54.5,10.5,64
53.5,10.5,65
56.5,10.5,66
54.5,12.5,67
56.5,11.5,68
57.5,10.5,69
58.5,12.5,70
55.5,10.5,71
57.5,11.5,72
54.5,11.5,73
57.5,16.5,74
58.5,13.5,75
58.5,15.5,76
57.5,14.5,77
57.5,12.5,78
56.5,13.5,79
58.5,14.5,80
55.5,12.5,81
57.5,15.5,82
57.5,13.5,83
56.5,16.5,84
54.5,13.5,85
55.5,14.5,86
55.5,13.5,87
56.5,15.5,88
53.5,13.5,89
54.5,14.5,90
55.5,15.5,91
54.5,16.5,92
55.5,16.5,93
53.5,14.5,94
53.5,15.5,95
52.5,16.5,96
52.5,15.5,97
49.5,15.5,98
49.5,17.5,99
47.5,18.5,100
48.5,20.5,101
48.5,22.5,102
50.5,23.5,103
51.5,22.5,104
53.5,23.5,105
54.5,22.5,106
56.5,21.5,107
57.5,22.5,108
59.5,23.5,109
60.5,24.5,110
62.5,24.5,111
63.5,23.5,112
62.5,21.5,113
60.5,20.5,114
60.5,18.5,115
58.5,18.5,116
56.5,18.5,117
54.5,19.5,118
53.5,18.5,119
51.5,18.5,120
50.5,18.5,121
51.5,19.5,122
52.5,19.5,123
52.5,18.5,124
53.5,19.5,125
54.5,18.5,126
55.5,18.5,127
57.5,18.5,128
62.5,18.5,129
63.5,18.5,130
65.5,19.5,131
66.5,20.5,132
67.5,22.5,133
68.5,21.5,134
66.5,24.5,135
67.5,26.5,136
69.5,25.5,137
