X,Y,Index
2.5,2.5,0
2.5,3.5,1
2.5,5.5,2
3.5,6.5,3
5.5,7.5,4
6.5,6.5,5
8.5,7.5,6
9.5,6.5,7
11.5,7.5,8
13.5,8.5,9
14.5,7.5,10
16.5,8.5,11
18.5,9.5,12
18.5,11.5,13
18.5,13.5,14
18.5,15.5,15
17.5,16.5,16
18.5,18.5,17
19.5,19.5,18
20.5,21.5,19
20.5,23.5,20
20.5,25.5,21
18.5,26.5,22
17.5,25.5,23
16.5,24.5,24
16.5,22.5,25
17.5,21.5,26
16.5,20.5,27
16.5,21.5,28
17.5,22.5,29
16.5,23.5,30
17.5,23.5,31
16.5,26.5,32
17.5,26.5,33
17.5,24.5,34
16.5,25.5,35
22.5,26.5,36
24.5,25.5,37
24.5,24.5,38
24.5,22.5,39
24.5,20.5,40
22.5,19.5,41
22.5,17.5,42
23.5,16.5,43
25.5,17.5,44
27.5,18.5,45
28.5,19.5,46
29.5,21.5,47
29.5,23.5,48
30.5,25.5,49
29.5,27.5,50
30.5,29.5,51
31.5,31.5,52
30.5,33.5,53
30.5,34.5,54
31.5,36.5,55
31.5,37.5,56
31.5,39.5,57
31.5,41.5,58
33.5,42.5,59
34.5,41.5,60
36.5,42.5,61
37.5,41.5,62
39.5,40.5,63
39.5,39.5,64
37.5,38.5,65
37.5,37.5,66
35.5,36.5,67
34.5,37.5,68
35.5,34.5,69
33.5,33.5,70
34.5,31.5,71
34.5,30.5,72
34.5,28.5,73
35.5,27.5,74
37.5,28.5,75
38.5,27.5,76
37.5,25.5,77
38.5,23.5,78
38.5,22.5,79
37.5,20.5,80
37.5,19.5,81
37.5,17.5,82
37.5,16.5,83
38.5,16.5,84
35.5,17.5,85
34.5,19.5,86
33.5,20.5,87
31.5,19.5,88
31.5,17.5,89
30.5,16.5,90
31.5,16.5,91
32.5,16.5,92
29.5,16.5,93
32.5,17.5,94
31.5,18.5,95
30.5,17.5,96
33.5,22.5,97
32.5,23.5,98
33.5,25.5,99
35.5,23.5,100
34.5,24.5,101
33.5,23.5,102
34.5,23.5,103
35.5,22.5,104
33.5,24.5,105
32.5,21.5,106
34.5,22.5,107
32.5,22.5,108
32.5,19.5,109
34.5,20.5,110
33.5,21.5,111
33.5,19.5,112
34.5,21.5,113
32.5,18.5,114
32.5,20.5,115
33.5,16.5,116
34.5,18.5,117
34.5,17.5,118
34.5,16.5,119
33.5,18.5,120
33.5,17.5,121
39.5,17.5,122
35.5,16.5,123
39.5,16.5,124
36.5,16.5,125
39.5,18.5,126
38.5,17.5,127
36.5,17.5,128
35.5,18.5,129
36.5,20.5,130
35.5,21.5,131
36.5,18.5,132
38.5,19.5,133
35.5,19.5,134
37.5,18.5,135
39.5,19.5,136
36.5,19.5,137
35.5,20.5,138
38.5,18.5,139
38.5,20.5,140
39.5,20.5,141
36.5,21.5,142
