X,Y,Index
3.5,3.5,0
5.5,3.5,1
7.5,4.5,2
9.5,5.5,3
8.5,7.5,4
10.5,8.5,5
11.5,7.5,6
13.5,8.5,7
14.5,7.5,8
16.5,8.5,9
18.5,9.5,10
18.5,11.5,11
18.5,13.5,12
18.5,15.5,13
17.5,16.5,14
15.5,15.5,15
14.5,16.5,16
12.5,15.5,17
11.5,16.5,18
9.5,15.5,19
8.5,16.5,20
8.5,18.5,21
10.5,19.5,22
11.5,21.5,23
12.5,22.5,24
12.5,24.5,25
12.5,26.5,26
13.5,28.5,27
11.5,29.5,28
10.5,30.5,29
8.5,29.5,30
7.5,30.5,31
5.5,29.5,32
4.5,30.5,33
3.5,31.5,34
4.5,33.5,35
5.5,35.5,36
6.5,35.5,37
8.5,36.5,38
8.5,38.5,39
8.5,40.5,40
10.5,41.5,41
11.5,40.5,42
11.5,38.5,43
13.5,37.5,44
14.5,38.5,45
15.5,39.5,46
17.5,38.5,47
17.5,36.5,48
15.5,35.5,49
15.5,33.5,50
16.5,32.5,51
18.5,33.5,52
19.5,32.5,53
21.5,33.5,54
22.5,32.5,55
21.5,30.5,56
22.5,28.5,57
23.5,27.5,58
24.5,25.5,59
24.5,24.5,60
24.5,22.5,61
24.5,20.5,62
22.5,19.5,63
22.5,17.5,64
23.5,16.5,65
25.5,17.5,66
27.5,18.5,67
28.5,19.5,68
30.5,18.5,69
30.5,17.5,70
31.5,15.5,71
29.5,14.5,72
29.5,12.5,73
27.5,11.5,74
27.5,9.5,75
25.5,8.5,76
24.5,9.5,77
22.5,10.5,78
21.5,11.5,79
21.5,13.5,80
21.5,14.5,81
23.5,13.5,82
24.5,13.5,83
26.5,14.5,84
25.5,13.5,85
24.5,12.5,86
25.5,14.5,87
22.5,13.5,88
21.5,9.5,89
21.5,7.5,90
20.5,5.5,91
20.5,3.5,92
18.5,3.5,93
17.5,4.5,94
15.5,3.5,95
14.5,4.5,96
12.5,3.5,97
11.5,3.5,98
12.5,4.5,99
13.5,3.5,100
13.5,4.5,101
14.5,3.5,102
16.5,5.5,103
15.5,4.5,104
16.5,3.5,105
17.5,5.5,106
17.5,3.5,107
16.5,4.5,108
22.5,3.5,109
24.5,4.5,110
25.5,5.5,111
27.5,5.5,112
29.5,5.5,113
29.5,3.5,114
31.5,3.5,115
33.5,4.5,116
34.5,3.5,117
36.5,4.5,118
37.5,3.5,119
39.5,3.5,120
41.5,3.5,121
41.5,5.5,122
43.5,6.5,123
44.5,5.5,124
46.5,4.5,125
47.5,5.5,126
48.5,7.5,127
49.5,9.5,128
50.5,10.5,129
50.5,12.5,130
50.5,14.5,131
51.5,16.5,132
49.5,17.5,133
48.5,18.5,134
48.5,20.5,135
49.5,21.5,136
50.5,23.5,137
51.5,25.5,138
52.5,25.5,139
53.5,23.5,140
54.5,22.5,141
56.5,21.5,142
57.5,22.5,143
59.5,23.5,144
60.5,25.5,145
61.5,26.5,146
63.5,25.5,147
64.5,26.5,148
66.5,25.5,149
67.5,26.5,150
69.5,25.5,151
70.5,26.5,152
72.5,25.5,153
73.5,26.5,154
75.5,25.5,155
76.5,26.5,156
78.5,25.5,157
79.5,24.5,158
81.5,25.5,159
82.5,26.5,160
83.5,28.5,161
83.5,30.5,162
83.5,32.5,163
82.5,33.5,164
80.5,32.5,165
79.5,33.5,166
79.5,35.5,167
81.5,36.5,168
81.5,37.5,169
80.5,39.5,170
78.5,38.5,171
77.5,37.5,172
75.5,38.5,173
75.5,40.5,174
74.5,41.5,175
74.5,43.5,176
76.5,44.5,177
76.5,46.5,178
76.5,48.5,179
78.5,49.5,180
79.5,48.5,181
79.5,46.5,182
79.5,45.5,183
79.5,43.5,184
78.5,42.5,185
79.5,42.5,186
78.5,41.5,187
80.5,42.5,188
80.5,43.5,189
79.5,44.5,190
80.5,47.5,191
80.5,46.5,192
80.5,45.5,193
80.5,44.5,194
79.5,50.5,195
79.5,52.5,196
78.5,54.5,197
76.5,53.5,198
74.5,52.5,199
74.5,50.5,200
72.5,49.5,201
70.5,48.5,202
69.5,49.5,203
67.5,48.5,204
66.5,49.5,205
64.5,48.5,206
63.5,49.5,207
61.5,48.5,208
60.5,49.5,209
58.5,48.5,210
57.5,49.5,211
55.5,48.5,212
