X,Y,Index
3.5,3.5,0
5.5,3.5,1
7.5,4.5,2
9.5,5.5,3
8.5,7.5,4
10.5,8.5,5
11.5,7.5,6
13.5,8.5,7
14.5,7.5,8
16.5,8.5,9
18.5,9.5,10
18.5,11.5,11
18.5,13.5,12
18.5,15.5,13
17.5,16.5,14
15.5,15.5,15
14.5,16.5,16
12.5,15.5,17
11.5,16.5,18
9.5,15.5,19
8.5,16.5,20
8.5,18.5,21
10.5,19.5,22
11.5,21.5,23
12.5,22.5,24
12.5,24.5,25
12.5,26.5,26
13.5,28.5,27
11.5,29.5,28
10.5,30.5,29
8.5,29.5,30
7.5,30.5,31
5.5,29.5,32
4.5,30.5,33
3.5,31.5,34
4.5,33.5,35
5.5,35.5,36
6.5,35.5,37
8.5,36.5,38
8.5,38.5,39
8.5,40.5,40
10.5,41.5,41
11.5,40.5,42
11.5,38.5,43
13.5,37.5,44
14.5,38.5,45
15.5,39.5,46
17.5,38.5,47
17.5,36.5,48
15.5,35.5,49
15.5,33.5,50
16.5,32.5,51
18.5,33.5,52
19.5,32.5,53
21.5,33.5,54
22.5,32.5,55
24.5,33.5,56
24.5,35.5,57
25.5,37.5,58
27.5,38.5,59
28.5,37.5,60
29.5,36.5,61
31.5,37.5,62
32.5,36.5,63
34.5,37.5,64
35.5,36.5,65
37.5,37.5,66
38.5,36.5,67
40.5,37.5,68
41.5,36.5,69
43.5,37.5,70
44.5,36.5,71
46.5,37.5,72
44.5,34.5,73
46.5,33.5,74
47.5,34.5,75
47.5,36.5,76
49.5,33.5,77
50.5,33.5,78
48.5,31.5,79
48.5,29.5,80
49.5,28.5,81
51.5,29.5,82
51.5,31.5,83
51.5,32.5,84
53.5,30.5,85
53.5,28.5,86
54.5,27.5,87
55.5,25.5,88
56.5,23.5,89
57.5,22.5,90
59.5,23.5,91
59.5,21.5,92
59.5,19.5,93
60.5,18.5,94
59.5,16.5,95
61.5,15.5,96
62.5,16.5,97
64.5,15.5,98
66.5,14.5,99
66.5,13.5,100
67.5,11.5,101
65.5,10.5,102
64.5,11.5,103
62.5,10.5,104
61.5,11.5,105
59.5,12.5,106
58.5,13.5,107
56.5,14.5,108
55.5,15.5,109
54.5,16.5,110
54.5,18.5,111
54.5,20.5,112
53.5,21.5,113
53.5,23.5,114
52.5,24.5,115
50.5,23.5,116
48.5,22.5,117
47.5,23.5,118
45.5,22.5,119
44.5,21.5,120
42.5,22.5,121
41.5,23.5,122
39.5,22.5,123
38.5,23.5,124
36.5,22.5,125
35.5,23.5,126
33.5,22.5,127
32.5,23.5,128
30.5,22.5,129
29.5,23.5,130
27.5,22.5,131
26.5,23.5,132
24.5,24.5,133
23.5,23.5,134
21.5,24.5,135
20.5,25.5,136
18.5,26.5,137
17.5,25.5,138
15.5,26.5,139
16.5,28.5,140
18.5,29.5,141
20.5,28.5,142
22.5,28.5,143
23.5,27.5,144
25.5,28.5,145
25.5,30.5,146
27.5,31.5,147
27.5,33.5,148
27.5,34.5,149
29.5,33.5,150
30.5,33.5,151
32.5,32.5,152
33.5,33.5,153
35.5,32.5,154
34.5,30.5,155
34.5,28.5,156
35.5,27.5,157
37.5,28.5,158
38.5,27.5,159
40.5,28.5,160
41.5,27.5,161
43.5,28.5,162
44.5,27.5,163
46.5,26.5,164
47.5,26.5,165
45.5,25.5,166
43.5,25.5,167
46.5,27.5,168
45.5,26.5,169
44.5,25.5,170
45.5,29.5,171
45.5,30.5,172
43.5,31.5,173
42.5,31.5,174
40.5,31.5,175
39.5,31.5,176
38.5,33.5,177
38.5,32.5,178
40.5,33.5,179
39.5,32.5,180
38.5,31.5,181
39.5,33.5,182
41.5,33.5,183
40.5,32.5,184
41.5,32.5,185
42.5,32.5,186
41.5,31.5,187
44.5,31.5,188
44.5,30.5,189
45.5,27.5,190
44.5,28.5,191
43.5,29.5,192
44.5,26.5,193
42.5,30.5,194
45.5,28.5,195
44.5,29.5,196
43.5,30.5,197
43.5,26.5,198
43.5,27.5,199
42.5,26.5,200
42.5,29.5,201
41.5,30.5,202
40.5,30.5,203
41.5,28.5,204
42.5,27.5,205
40.5,29.5,206
41.5,26.5,207
39.5,30.5,208
42.5,28.5,209
41.5,29.5,210
40.5,26.5,211
40.5,27.5,212
