X,Y,Index
3.5,3.5,0
5.5,3.5,1
7.5,4.5,2
9.5,5.5,3
8.5,7.5,4
10.5,8.5,5
11.5,7.5,6
13.5,8.5,7
14.5,7.5,8
16.5,8.5,9
18.5,9.5,10
18.5,11.5,11
18.5,13.5,12
18.5,15.5,13
17.5,16.5,14
15.5,15.5,15
14.5,16.5,16
12.5,15.5,17
11.5,16.5,18
9.5,15.5,19
8.5,16.5,20
8.5,18.5,21
10.5,19.5,22
11.5,21.5,23
12.5,22.5,24
12.5,24.5,25
12.5,26.5,26
13.5,28.5,27
11.5,29.5,28
10.5,30.5,29
8.5,29.5,30
7.5,30.5,31
5.5,29.5,32
4.5,30.5,33
3.5,31.5,34
4.5,33.5,35
5.5,35.5,36
6.5,35.5,37
8.5,36.5,38
8.5,38.5,39
8.5,40.5,40
10.5,41.5,41
11.5,40.5,42
11.5,38.5,43
13.5,37.5,44
14.5,38.5,45
15.5,39.5,46
17.5,38.5,47
17.5,36.5,48
15.5,35.5,49
15.5,33.5,50
16.5,32.5,51
18.5,33.5,52
19.5,32.5,53
21.5,33.5,54
22.5,32.5,55
24.5,33.5,56
24.5,35.5,57
25.5,37.5,58
27.5,38.5,59
27.5,39.5,60
25.5,39.5,61
25.5,41.5,62
27.5,42.5,63
27.5,44.5,64
29.5,45.5,65
30.5,44.5,66
30.5,42.5,67
32.5,45.5,68
33.5,44.5,69
32.5,47.5,70
33.5,49.5,71
34.5,50.5,72
34.5,52.5,73
36.5,53.5,74
37.5,52.5,75
37.5,50.5,76
39.5,49.5,77
40.5,50.5,78
41.5,51.5,79
43.5,50.5,80
43.5,48.5,81
45.5,49.5,82
46.5,51.5,83
45.5,53.5,84
45.5,55.5,85
47.5,56.5,86
47.5,58.5,87
46.5,59.5,88
44.5,60.5,89
43.5,61.5,90
41.5,60.5,91
40.5,61.5,92
38.5,60.5,93
37.5,61.5,94
35.5,60.5,95
34.5,61.5,96
32.5,60.5,97
31.5,61.5,98
29.5,60.5,99
28.5,61.5,100
26.5,60.5,101
25.5,61.5,102
23.5,60.5,103
22.5,61.5,104
20.5,60.5,105
19.5,61.5,106
17.5,60.5,107
16.5,61.5,108
14.5,60.5,109
13.5,59.5,110
12.5,57.5,111
12.5,55.5,112
12.5,53.5,113
10.5,52.5,114
8.5,53.5,115
7.5,52.5,116
5.5,51.5,117
5.5,49.5,118
3.5,48.5,119
3.5,47.5,120
5.5,46.5,121
6.5,46.5,122
8.5,47.5,123
8.5,49.5,124
10.5,49.5,125
12.5,48.5,126
14.5,49.5,127
14.5,51.5,128
16.5,52.5,129
17.5,51.5,130
17.5,49.5,131
18.5,48.5,132
18.5,46.5,133
18.5,44.5,134
19.5,43.5,135
21.5,44.5,136
21.5,46.5,137
23.5,47.5,138
24.5,49.5,139
23.5,51.5,140
22.5,52.5,141
20.5,51.5,142
21.5,49.5,143
20.5,50.5,144
19.5,53.5,145
20.5,54.5,146
21.5,55.5,147
21.5,57.5,148
19.5,57.5,149
18.5,57.5,150
16.5,57.5,151
15.5,57.5,152
15.5,55.5,153
15.5,56.5,154
16.5,55.5,155
17.5,55.5,156
16.5,56.5,157
17.5,56.5,158
18.5,56.5,159
17.5,57.5,160
23.5,57.5,161
24.5,55.5,162
26.5,56.5,163
27.5,57.5,164
29.5,56.5,165
30.5,55.5,166
32.5,54.5,167
31.5,52.5,168
29.5,51.5,169
28.5,52.5,170
26.5,51.5,171
27.5,49.5,172
26.5,47.5,173
28.5,48.5,174
27.5,47.5,175
29.5,48.5,176
27.5,48.5,177
27.5,53.5,178
26.5,52.5,179
26.5,53.5,180
28.5,50.5,181
30.5,49.5,182
29.5,50.5,183
27.5,51.5,184
28.5,53.5,185
28.5,49.5,186
28.5,51.5,187
27.5,50.5,188
27.5,52.5,189
29.5,49.5,190
29.5,52.5,191
30.5,51.5,192
31.5,51.5,193
30.5,52.5,194
30.5,50.5,195
33.5,55.5,196
35.5,56.5,197
37.5,57.5,198
38.5,56.5,199
39.5,55.5,200
41.5,56.5,201
42.5,55.5,202
43.5,57.5,203
42.5,56.5,204
42.5,54.5,205
41.5,57.5,206
42.5,57.5,207
41.5,54.5,208
41.5,55.5,209
40.5,54.5,210
40.5,57.5,211
40.5,55.5,212
