Data1,Data2,Data3,Data4,Data5,Data6,Data7,Data8,Data9,Data10,Index
-41.2781322852855,88.98284837616498,-22.647071849800493,125.58563520075019,-159.26225899592725,279.7929975416443,-186.6879439194065,192.53073083842597,491.1305460492887,-284.65794872714514,0
-41.362033431504905,89.13480109760397,-22.683978393405535,125.73954855139571,-159.43365183931238,280.02699821583366,-186.8036376877566,192.63451098994508,491.2452891879035,-284.70025838059667,1
-41.08433679715013,88.62930782711135,-22.561241452161585,125.22677896572404,-158.86233610425396,279.24629547337605,-186.41733593981414,192.28788520936502,490.86161243442274,-284.55873914525563,2
-40.39764346283448,87.38024991743886,-22.25788070687572,123.95889092407153,-157.4494277794696,277.31499485018236,-185.4614515918001,191.4300927452396,489.91177612481863,-284.2083554365616,3
-39.693728131938066,86.10169764190712,-21.947249223793623,122.66026757747382,-156.0020511402917,275.3361081700322,-184.48180341695397,190.55090417948676,488.9379503613774,-283.84909180408135,4
-39.05872041888879,84.94413122530374,-21.66598876150183,121.48188409077211,-154.68771123596778,273.5369595342988,-183.5901705332312,189.75038259404795,488.04990461151095,-283.52133474839496,5
-39.0584248268042,84.94406421410997,-21.66606569206912,121.48361366362073,-154.69024284096966,273.54174712109585,-183.59313516047322,189.7532417705263,488.0539060212525,-283.52289699893623,6
-39.19127965188458,85.1863202240678,-21.72496193015267,121.7308304129722,-154.96618308614123,273.91991112590136,-183.7807449654906,189.92174664882646,488.24111096009244,-283.592018383137,7
-37.824342752713825,82.69216920603182,-21.11863450297799,119.18543887022558,-152.12495762886334,270.02592756659743,-181.8488176115574,188.18652413531743,486.3131912468445,-282.88016117098834,8
-36.133479842330296,79.5989408768151,-20.366154303008965,116.01551480638922,-148.5820601559393,265.1602811177125,-179.4303432671278,186.01278463309865,483.89172784741504,-281.9854262707445,9
-34.513055385891874,76.62974259709539,-19.64368967279479,112.96748853662115,-145.17357323346067,260.47519480957294,-177.09980907099455,183.91748367250537,481.55510325749043,-281.121777876812,10
-33.50263624704102,74.77520130838879,-19.19223945687165,111.05892814043682,-143.0376851343321,257.5357262034504,-175.635969285757,182.6008691693639,480.0845846258473,-280.5780083499287,11
-32.16440521535107,72.3206302106002,-18.594627659184912,108.5337994568073,-140.2123046442867,253.64823192770848,-173.70029403909177,180.86008166770915,478.14095055929215,-279.85928053602316,12
-30.747041096983526,69.70008240014249,-17.955346917542023,105.80360145107716,-137.1454514280163,249.4022896631007,-171.57450908726915,178.9442989258061,475.98521149772205,-279.060489536481,13
-29.909444295796433,68.15422741994837,-17.578133049064117,104.19710636669923,-135.3426780749464,246.90974005431096,-170.32777539551844,177.82142248426905,474.7240217546768,-278.59321126385953,14
-30.4321100631777,69.13110137386731,-17.817059965871383,105.23125162763057,-136.5099729079667,248.53814398704284,-171.14853969066613,178.56295290691116,475.5661735865562,-278.9060394086862,15
-31.36080085027285,70.85870367262075,-18.23929392035942,107.04827267871278,-138.5566888986732,251.38438063338768,-172.57928580590456,179.8541470309773,477.02685062403884,-279.4481480028239,16
-31.40690215411337,70.95451092995904,-18.263352948415353,107.16578737219464,-138.6947467186529,251.588709737005,-172.68742697259776,179.95358191958732,477.14698132984057,-279.49347779281584,17
-31.458946195423568,71.0541033293932,-18.287727840477746,107.27266004951889,-138.81588700729887,251.75881937002362,-172.77366212748032,180.03165104461405,477.2363156240663,-279.52673232099517,18
-31.475887191785695,71.08474371318455,-18.295239644570206,107.3048010054367,-138.852041328424,251.80898673267748,-172.79883184111188,180.05434925057082,477.2619246507724,-279.53623005400266,19
-31.4925650088869,71.11614201488983,-18.30289451426995,107.33770068663243,-138.88906873845858,251.86041164645493,-172.82465257308857,180.07764139450026,477.28823213467757,-279.5459895982207,20
-31.442893785771826,71.02141916292574,-18.279684714718933,107.23576940079779,-138.7734474453178,251.69787624443623,-172.74218041198097,180.00295325170842,477.2026603152043,-279.5141253429091,21
-31.476764209448643,71.08518115161881,-18.295231933971703,107.30261706813717,-138.84869423013737,251.8024076206208,-172.7946776285738,180.0503135081951,477.2561682183199,-279.53397723263146,22
-31.517813934600618,71.15081000477942,-18.310632586494492,107.35465470035179,-138.90153444137837,251.8633444701013,-172.81978572999856,180.07110392006723,477.2719210315784,-279.5390633893023,23
-31.466408118052808,71.06122195976262,-18.289163158525113,107.27113467292695,-138.8110780905209,251.7454187170006,-172.76397136663,180.02190535504457,477.22113610426254,-279.52069249933623,24
-31.070150062500105,70.32462353238728,-18.1090624483071,106.49551354426012,-137.93713860088113,250.52949972212343,-172.15249285805666,179.46998497185047,476.59641563246157,-279.288800067258,25
-31.356779859201986,70.85817546048442,-18.239514948886285,107.05767802566567,-138.57069264788598,251.4112531141546,-172.59604785313698,179.87037924189158,477.04979853745374,-279.4571109519857,26
-28.81302234439238,66.11560054855713,-17.07976995450336,102.05671397386688,-132.93346020448115,243.56242025393377,-168.6461404840565,176.30449784693877,473.01015727432105,-277.9571244850033,27
-27.383628421469897,63.44241189039703,-16.425328746855058,99.22533813513965,-129.73798597934976,239.10401939630768,-166.39797803654713,174.2737274654945,470.7039044640564,-277.09998815323127,28
-25.7019796535506,60.28323726166701,-15.650832187191984,95.85393281229912,-125.92451692696342,233.76443745260215,-163.69693552248359,171.83106807890832,467.9178979188434,-276.06329475671026,29
-24.99369180645287,58.94898750602755,-15.32341853246256,94.42223824041663,-124.30241217279928,231.48732215458358,-162.5424534654853,170.78612271418373,466.72230633463846,-275.6180457784307,30
-23.077738304442807,55.32382496322544,-14.433207571868483,90.51101412761544,-119.86348038089902,225.23951279491092,-159.36759259728905,167.90993740208947,463.4208324008529,-274.38754611050734,31
-22.33204522990261,53.91000350878021,-14.085802719039277,88.98163441162264,-118.12652217460445,222.7917879993676,-158.12234730987413,166.78146145225685,462.12368518142597,-273.9038365738147,32
-21.291760851461042,51.940371243959625,-13.601397939490758,86.85037751117213,-115.70638315517121,219.38138830436893,-156.38703778214352,165.20913218133543,460.31670400496296,-273.22981034135364,33
-20.590415394008865,50.6034101847722,-13.272163950165728,85.3913775808954,-114.04536025283338,217.0312132900893,-155.18690956933463,164.1202822274472,459.0591899763799,-272.76011437116733,34
-19.664044736624753,48.81386016790854,-12.830561350113966,83.40691508334916,-111.77498130888938,213.79449953602693,-153.52327556255258,162.60710274952837,457.2957134129112,-272.09994837181273,35
-18.287760006818488,46.16801313891707,-12.17727129249434,80.48400276564988,-108.43585982809167,209.04331221259173,-151.0845540105797,160.3907901988286,454.7191582103706,-271.1355456022713,36
-16.712638929878636,43.11771915632796,-11.428122545482237,77.10249896304013,-104.56161589034376,203.51664298979455,-148.2461945405194,157.80591271875556,451.70110522923954,-270.0077548083501,37
-14.028828058909422,37.94621465491128,-10.159622764073848,71.40093921677835,-98.03881568949758,194.23466854944178,-143.49021176530337,153.4774822716838,446.6610383831211,-268.1263230297818,38
-8.90202028672751,28.07701557542524,-7.723208288585803,60.47305846629628,-85.54359506699612,176.4337723207633,-134.3449849926196,145.16172916121593,436.97735862834656,-264.5012244416841,39
-4.17857796102992,19.091976971539594,-5.4034067484294726,50.291910936294265,-73.97631791151024,159.88577677221306,-125.71095738525545,137.37021626111832,427.9440190669373,-261.05543620865797,40
0.2488172131342202,10.7397245980023,-3.1638421331192297,40.61552295622489,-63.032616621370785,144.1555098264497,-117.38961395320861,129.90414735132828,419.3060633654559,-257.70847463939987,41
2.2662257761383344,6.731639260938428,-2.2124784473552737,36.145594703290186,-57.845057126126484,136.69298269366828,-113.56547563506008,126.38604828833657,415.1235583127368,-256.1631912748141,42
3.6472963023346954,3.368472368855771,-1.8072218032542002,33.02693194019685,-53.81791958296252,130.9418178278363,-111.04423890359188,123.78607289908588,411.70881766374964,-255.1439790531784,43
5.872045242770119,-1.332728299585288,-0.77453184518578,27.717474418455797,-47.489739415009204,121.68547096447001,-106.32423473247694,119.35579766038019,406.25925739493005,-253.17475736407488,44
7.792335104308663,-4.438225687640862,0.5117212007078957,23.175540101453173,-42.71571304965453,114.6096215134504,-102.03439317555325,115.78072045279555,402.36409542352305,-251.38522623753485,45
7.684118022987997,-3.350467716106103,0.7438510641124262,23.73487824311859,-43.926350624263335,116.40339273491506,-102.46612813496522,116.54523609040073,403.74983745165855,-251.5995346543343,46
10.679244220708338,-8.035211896220126,2.749709674245451,16.901974086106158,-36.865910743320015,106.02043117270222,-96.10737550588878,111.3213213605257,398.2011277707092,-248.979894985923,47
11.617712669608123,-8.5726931559697,3.613524614421032,15.321250347351132,-35.864276449130216,104.63794851306267,-94.66889528743079,110.5359744395608,397.9543965797763,-248.44798725682006,48
14.29003572871473,-12.400758010336604,5.563248660811375,9.195843730480593,-29.78546032225504,95.64443526317083,-88.84131874992948,105.91649348319328,393.26312707889986,-246.03788268536408,49
16.184561024268735,-15.077796860643769,7.135892712663771,4.283588690909959,-24.95750706842975,88.31558621674007,-83.86399919614475,102.02205416694063,389.32000347669765,-243.91696725734366,50
17.567343657779567,-15.917237011776296,8.36277650098439,2.0254960723385524,-23.508539321016602,86.31952520878802,-81.83112946439302,100.89443659142789,388.931320944515,-243.1608993495,51
19.12233253256092,-16.948740446881782,9.686593029210556,-0.46697850238596433,-21.849005213970962,84.0415137313796,-79.62507275795485,99.63448125204434,388.4204672075651,-242.34170869387654,52
21.26670422136309,-18.54577061569905,11.638118723482345,-4.573073785721945,-18.790771855598283,79.5512069050744,-75.63323742733895,97.09407705092086,386.7586075273992,-240.7368303752536,53
22.613227088838045,-19.36857422561819,12.750650801759301,-6.547636285401766,-17.557892756127224,77.90207553795153,-73.93806702655814,96.17527462544123,386.49319478721,-240.11928178132118,54
24.084292927984073,-20.275476056860384,14.185197979671516,-9.43776195330054,-15.505969664277412,74.80378095242304,-70.98675349374457,94.33489802044436,385.32500186271795,-238.89622343370425,55
25.202226711159813,-20.900105657994022,15.01883671097718,-10.716670863914459,-14.851785083558124,74.07281548307989,-70.07241467105814,93.9546675822809,385.5036036927645,-238.61723554614954,56
27.258878510998237,-22.094977794182213,15.893025173774728,-11.00559923867414,-15.54791542305161,76.22002291221777,-71.45713468482994,95.52589622927471,388.1016241719409,-239.61265499512513,57
28.36309197235089,-22.75370809714755,16.563728836660097,-11.844674043987188,-15.26009092627286,76.16483747003927,-71.18526762548798,95.59615511079981,388.6868013859566,-239.64370494940044,58
27.288284122538922,-22.06583192688495,16.58688346978239,-13.153862087815485,-13.574753193513535,72.5998790091062,-68.28236794516565,93.17401497692805,385.74769229768833,-238.0514668783659,59
28.23119528201582,-22.628481151612597,17.052006619602537,-13.512239255886682,-13.672573687710448,73.18931007003914,-68.59550256018144,93.64830191649578,386.6832717604509,-238.3523485011878,60
27.09523209674054,-21.868493272415442,16.985366767086237,-14.565321583008439,-12.218149359297215,69.99351838537314,-65.98345292466684,91.4369021515726,383.9337215775626,-236.8850733560167,61
28.043740675427774,-22.474619688871538,17.25296063555263,-14.322430301177267,-12.861943038732214,71.61085317657924,-67.22321018178604,92.59582866092501,385.5593645069557,-237.6503936369655,62
29.975836983005532,-23.709783153316323,17.78234321635182,-13.790315497002748,-14.198903482796213,74.94265685162704,-69.78545366715346,94.97621840630084,388.87192526566474,-239.22018069671665,63
30.964691693823138,-24.334040143379557,18.07865404857474,-13.601077763399188,-14.801760242623432,76.4851255931193,-70.9515190694585,96.0811970169552,390.4377852663912,-239.94426011559847,64
31.26354254763157,-24.52195000897653,18.17178105994319,-13.555510900491178,-14.97262949747941,76.92898032415863,-71.28417215568963,96.39978995417668,390.8936545740819,-240.15243624952186,65
31.958585795990814,-24.949849147087676,18.35616678922083,-13.36718264995529,-15.429526305072802,78.04183186314954,-72.12957049577885,97.17810136459123,391.9500617132373,-240.65381266773582,66
31.690949543204745,-24.78082269767734,18.210195015695486,-13.222121412783341,-15.439538250862705,77.93067047943629,-72.08371933463488,97.07200737209996,391.70167060692006,-240.5828125192229,67
33.68307712303537,-26.001682220649702,18.822375538169528,-12.936480067491203,-16.520698395696872,80.7072569171805,-74.14265658102455,99.03778443026779,394.47627703346393,-241.84588279180343,68
35.95657024146444,-27.389110672754263,19.59719176083947,-12.852976710576982,-17.527910664424844,83.4562357034614,-76.12669956315618,101.00725443254655,397.36191851190597,-243.1053785240774,69
37.42047366745334,-28.28139330845703,20.172521361152565,-13.041816410323838,-17.95139783718003,84.8168517492847,-77.05032380822173,102.01253303793499,398.95763624717347,-243.74423124368997,70
40.34560730308509,-30.060803559476753,21.32278947856936,-13.431940523112592,-18.77639104779997,87.48430504378547,-78.85511566765335,103.98233429951104,402.0860346081787,-244.99276637776944,71
43.11742105812013,-31.74217617898013,22.421056558754753,-13.84203181301567,-19.50836163423477,89.90486149583027,-80.47763709443602,105.77245485477339,404.9464350781206,-246.1226627284977,72
43.328967232983594,-31.872341883964772,22.497968188513187,-13.847311060394867,-19.591154094992547,90.14174233697196,-80.64513540687857,105.94378343433335,405.2046121809513,-246.23198033235926,73
44.341049942746594,-32.48481269771688,22.907232964278307,-14.0277343809486,-19.825908860533517,90.96102039853471,-81.18346523615945,106.5534694921197,406.1959731799812,-246.61475484109937,74
47.202523180868184,-34.21575179236877,24.055757380950514,-14.510186732123831,-20.51587417249481,93.32530832839635,-82.74618082546478,108.30803508075209,409.03085333080753,-247.71707679973628,75
48.21693177078701,-34.82869613222746,24.46144704200253,-14.677617744905588,-20.762912186884385,94.16640361318585,-83.30284365668456,108.93118301790253,410.0348372508459,-248.1082625914302,76
49.23095555530351,-35.44154819776127,24.86597935102751,-14.841757343209483,-21.01248789457817,95.01106888175408,-83.86256909269645,109.55603228189261,411.0389610585241,-248.50024960601175,77
49.48903269068191,-35.59727702927279,24.972525779891313,-14.895901863513124,-21.063625517252152,95.20261816557334,-83.9854602463802,109.6997186471038,411.2773649844347,-248.58994936608786,78
49.68598659707216,-35.716476160081584,25.052491082480433,-14.932265222862286,-21.10766140235974,95.35824498801547,-84.0870927524533,109.81549877340369,411.4660196410414,-248.66237285756708,79
49.62190625931533,-35.67773718258547,25.026595792918254,-14.920780919652454,-21.093017385590606,95.30704186654162,-84.05354122998882,109.77746431703709,411.4042607236117,-248.6385708247503,80
49.58544504601635,-35.65578962996791,25.011481223992817,-14.91283915709342,-21.086134455366725,95.28069004138472,-84.03676055746656,109.75765571086002,411.37120856689523,-248.62623007155386,81
49.68426056112826,-35.71535933368954,25.051772591056455,-14.93198731601292,-21.107196375254006,95.35669740199397,-84.08606213729092,109.81435732524822,411.4641967176127,-248.6616567436921,82
49.6184422320541,-35.6756536097826,25.025054579644227,-14.919671448955016,-21.09271653403983,95.30520480403509,-84.052504383553,109.77601899864977,411.4016084628168,-248.6376851197342,83
49.4603712073231,-35.58033602528151,24.96156522366714,-14.892312976112757,-21.055749236460105,95.17740475993337,-83.9684451710849,109.68123027179854,411.2482516078881,-248.57832482496272,84
49.421276502558435,-35.55676737067232,24.93902572756625,-14.862710760258654,-21.06906360772649,95.18779184264828,-83.98282484111537,109.68510050574334,411.2402698624966,-248.5814932105886,85
49.467496018517544,-35.58501055273121,24.952003394714662,-14.851549363042176,-21.098856108731063,95.2607496846413,-84.03716633747563,109.7359587819334,411.31048307810624,-248.61395301825593,86
49.56632301757966,-35.64484775304197,24.988282197742247,-14.856906301006658,-21.133639682690813,95.36258223342206,-84.10805594554165,109.80950682420553,411.422095819044,-248.66039981048831,87
49.43914412643117,-35.56819513376181,24.936737519755717,-14.833294116231547,-21.10546898409164,95.26268549398188,-84.04288536273317,109.73513840693954,411.30074594817535,-248.6138775896293,88
49.53836459131475,-35.6283143897843,24.972983653456936,-14.83799474172333,-21.141106083387246,95.36633381096914,-84.11524166678815,109.80993377353619,411.4139354131242,-248.661153971347,89
49.50690805804095,-35.60930054761725,24.955648848007414,-14.816859288297646,-21.149152767080647,95.3697125354257,-84.12271605847145,109.80984307908246,411.40397660186864,-248.66165274755124,90
49.53395788959251,-35.625731244949584,24.963541111507514,-14.811423475889486,-21.165492019571957,95.41038064219951,-84.15285053526691,109.8383203736201,411.4437084400582,-248.6798380141386,91
49.238987505417455,-35.44834702596781,24.834796779214326,-14.725231680334762,-21.131307063883884,95.2372834059838,-84.05085929578357,109.704122318977,411.20449730116184,-248.5970798979382,92
49.04095759343293,-35.32885797445331,24.74998161945927,-14.673349188241126,-21.10223498303147,95.1093806219699,-83.97265826597535,109.60635143731955,411.0352562767497,-248.53649018124943,93
48.60489252416239,-35.065890518043034,24.5660331492832,-14.56838238612413,-21.02902747583514,94.81036010690134,-83.78587849433299,109.37962298150123,410.64971713198133,-248.39551454452962,94
47.80840422232005,-34.584324883187975,24.236067102415852,-14.398855609274424,-20.87206233065814,94.21877667951406,-83.40699873561539,108.93511367973069,409.9096709439296,-248.11782213225857,95
46.41055897756305,-33.738422922359476,23.65895239961283,-14.109402195075587,-20.58733543704942,93.16126718001102,-82.72617413801521,108.14151513789905,408.59332183877723,-247.6212409025191,96
44.3781440262687,-32.507608585712426,22.820072869553687,-13.691267499098867,-20.168552656821355,91.61139936596976,-81.72639300981142,106.97802628168814,406.6640291675837,-246.892196927779,97
43.39156979062177,-31.909023856899946,22.40893591735646,-13.4772344755042,-19.974126162354835,90.87264923920422,-81.25298105353355,106.4206997102845,405.73136809929065,-246.54261320848357,98
42.32278558164443,-31.261326129969774,21.98237277512125,-13.307169243269039,-19.704817933108906,89.96564188482654,-80.64972954519719,105.7488202670128,404.6512487508181,-246.1197170718419,99
40.77501398828959,-30.315348384950475,21.29676193588431,-12.84794174163387,-19.508437587387046,88.99116836136199,-80.06538035933816,104.98597485833672,403.2827776261406,-245.64091004438882,100
38.944627670813794,-29.1933417505643,20.455093302967104,-12.208036556914834,-19.36279875428091,87.98753920219276,-79.50162701803623,104.17441069620487,401.74351084218426,-245.13145036746272,101
36.25639961097768,-27.542621980901128,19.22233181274496,-11.28444193545746,-19.129210751341002,86.47140077342873,-78.63918000664911,102.95264609843196,399.44275346918783,-244.36266830728837,102
34.371068305293036,-26.381609553777565,18.36303663402706,-10.660437264762534,-18.936336202999726,85.34518459844804,-77.98286341463205,102.0507408902992,397.76725628742867,-243.7922100258498,103
30.702033245831995,-24.111325680972623,16.668339147969068,-9.381739218787217,-18.611170999582782,83.2245813998238,-76.76722123767246,100.3309360937761,394.5141374671745,-242.70068669635177,104
29.151992371902196,-23.136437359954513,15.876205125389411,-8.588364284123958,-18.711252469187055,82.74499159389086,-76.60151676941634,99.86155811997504,393.3875526978093,-242.40234061929488,105
25.665560551426502,-20.89181011681683,13.898654067436237,-6.135894346773012,-19.572242471151487,82.78045577282684,-77.14861569528203,99.49207997972526,391.5260309822238,-242.16383549684033,106
25.1112399758439,-20.49725422969045,13.495892892180814,-5.4080192024362805,-20.0548588878701,83.40344173323732,-77.7229864296845,99.81599709709467,391.64560417442596,-242.36593462261567,107
25.405253221333435,-20.852909706902047,14.061012270368384,-7.134457507028906,-18.433292001349088,80.63905606053757,-75.4916404192056,98.13716661742909,389.9584351935573,-241.31346052717083,108
26.800955902455502,-21.75384181856536,15.00564962536363,-8.59755190322501,-17.647667055195132,79.83150096792308,-74.58402354333322,97.77960546615533,390.2138713906737,-241.07895415288797,109
