Data1,Data2,Data3,Data4,Data5,Data6,Data7,Data8,Data9,Data10,Index
-6.697789593008407,-1.3385496374560302,-12.123424607288168,-18.691058950318997,51.34575128292453,-10.824776890380848,-82.67706541497292,-297.39281088805575,389.88967694813647,-401.7864506107996,0
-6.562285009365792,-1.3122572967667334,-11.90642147645748,-18.387861042399695,50.80104589833542,-10.732252623248192,-82.0077083858069,-296.43904209412483,388.8197887812365,-401.36633457929264,1
-6.308166234638675,-1.2623051044129374,-11.4996109434817,-17.81990726837894,49.77928973549363,-10.558585869040108,-80.75117149578391,-294.64573439438834,386.8078335512932,-400.57582808616706,2
-6.317508146487209,-1.2641176297124896,-11.514602371713462,-17.840886556820156,49.81718155953614,-10.56503564288378,-80.7978514044211,-294.71258835645204,386.88286393115163,-400.6053447508204,3
-6.079273821595887,-1.2175189984431187,-11.13287181942895,-17.307459246316537,48.85598721775551,-10.401560555378005,-79.61491788771035,-293.02174936720064,384.98558820855834,-399.8594810111711,4
-6.019931342101692,-1.2058880208920055,-11.037745871237853,-17.1744985964419,48.61605248468034,-10.36072966441058,-79.31942381519062,-292.59877121514035,384.5109014059634,-399.6727726158341,5
-5.880923693033875,-1.179159975144161,-10.814302579657873,-16.86128488416118,48.0486061426959,-10.264024561288789,-78.61937557597064,-291.5932016757403,383.3820206911637,-399.2281921495907,6
-5.605521710634925,-1.1260627091678161,-10.371692140539169,-16.240999187693806,46.92483822610145,-10.07250790081801,-77.232978853932,-289.6016718921322,381.14626576375275,-398.3476871226434,7
-5.1887910893868465,-1.045564333717291,-9.701187277890803,-15.300606192761087,45.21576934048988,-9.780890292658906,-75.1214112464159,-286.5595654480837,377.73013804919145,-397.0009129750499,8
-4.79075237167848,-0.9693150728870338,-9.059175616242724,-14.398209021667489,43.567883035607124,-9.499213051172232,-73.08107760820268,-283.60755216144025,374.4138267953448,-395.69151547585875,9
-4.105397802837824,-0.837046748696914,-7.953506823701428,-12.844284793019208,40.72498879775515,-9.012884591691531,-69.55787598086476,-278.5003505218016,368.6753071220608,-393.4241784145889,10
-3.850161928208167,-0.787711574363346,-7.538997434206408,-12.259058114791607,39.63874364799485,-8.82619762276279,-68.20350025127782,-276.51504343774155,366.4422568408062,-392.53858739393775,11
-3.413726205676011,-0.7038606326277171,-6.829231862384496,-11.255668201713826,37.77143697974937,-8.50493753782282,-65.87245346031054,-273.08963128641653,362.5884782288646,-391.0088795256775,12
-3.052554378410166,-0.6354192099339007,-6.238782559155381,-10.417430297220092,36.19693308164217,-8.233265988192306,-63.899448172764856,-270.1701118831752,359.30171365255853,-389.7012082498092,13
-2.856651930028215,-0.5981483331492023,-5.9167045052980685,-9.958375032633239,35.322789132695185,-8.081671643517314,-62.79741102721251,-268.52021599375763,357.4422451679607,-388.9584184461596,14
-2.488052230550662,-0.5283103859295849,-5.307939153753685,-9.087787351536894,33.649505726356104,-7.790598499657773,-60.679626301503525,-265.3264733239162,353.8403768233597,-387.5160786771868,15
-2.37352329824113,-0.5069544084619373,-5.122587109769918,-8.826502260362073,33.172299205464824,-7.709226623321161,-60.08947949189434,-264.4764136148737,352.8858210901327,-387.13994003362046,16
-2.0639754271310697,-0.45021086703116076,-4.606354300253692,-8.082239657550401,31.71765319298113,-7.454778566038332,-58.2355588649985,-261.6439883630185,349.6875560838039,-385.85358829595447,17
-2.01897917238914,-0.44205757709882015,-4.536536747735153,-7.986870474278955,31.5636609972901,-7.4298866390729374,-58.056833219396424,-261.42103292206224,349.44094734582933,-385.7619635362157,18
-1.9239952680543093,-0.42453844499720494,-4.38381199508246,-7.7725336081116705,31.179254891633715,-7.3648190496187365,-57.58556129881233,-260.75432473546203,348.69360250382636,-385.4694296555139,19
-2.013718459345583,-0.44123399942691294,-4.538390880016112,-8.000312652322496,31.65563123082844,-7.4500694906479445,-58.20955069227748,-261.75562083622106,349.82918267673966,-385.93340730166074,20
-2.0917434254680405,-0.45550313613273413,-4.669881921103535,-8.191289505218363,32.03709201480446,-7.517288203720884,-58.70009899009785,-262.5174545406339,350.69069395080373,-386.28176823696515,21
-2.1879139289015663,-0.4738619381114796,-4.827399686141117,-8.415120451032427,32.45952343218735,-7.590249723316421,-59.230462690893525,-263.3048153491285,351.5773881708301,-386.63492896842894,22
-2.328425716928343,-0.5004898753500471,-5.056035687297935,-8.73854045018623,33.05981079036149,-7.693292603162316,-59.9784912540592,-264.39913124182664,352.8080443087105,-387.1225740476268,23
-2.40709288383048,-0.5150589610278772,-5.184085184016547,-8.919882175508627,33.395517499722885,-7.750860049816354,-60.39627491268303,-265.00875636600483,353.4934524995248,-387.39391958839224,24
-2.254547905675385,-0.4868364939552051,-4.936821947064995,-8.570783993634317,32.75597839617482,-7.641631718922093,-59.60420345574041,-263.8641302410161,352.20773897958804,-386.8866877279241,25
-2.222280582646767,-0.48070713027128653,-4.884476612122368,-8.496911339168086,32.61982806024694,-7.618323527529982,-59.43508756228274,-263.61830850813396,351.93146059433144,-386.7774633939713,26
-2.2609065458090307,-0.48772751874986847,-4.945546812873886,-8.581578517639539,32.76462055180516,-7.642368768987247,-59.608464647225546,-263.85143928024956,352.1914316231119,-386.8772354541485,27
-2.2316047876268383,-0.48239799393127786,-4.899118702365193,-8.517105440969647,32.65367840195241,-7.6238966057234165,-59.47519899646368,-263.67096915671397,351.9900348621131,-386.7997221168655,28
-2.189528152145869,-0.47392153563078276,-4.828435566100455,-8.415038314794359,32.44839979393927,-7.587621076648013,-59.21033958187724,-263.25715446747535,351.5218294860803,-386.61003309341976,29
-2.2396625331621687,-0.4840063116947342,-4.913054678979634,-8.537642015981596,32.6973137007117,-7.631746537329883,-59.532711973247444,-263.76422758910417,352.09589331970346,-386.8431092012197,30
-2.138189209560586,-0.46438127385042977,-4.746343288109752,-8.300337227587624,32.24536907113651,-7.55341941644512,-58.96297086981098,-262.91168579538265,351.13508348292663,-386.45938282034905,31
-2.185851541254861,-0.47366716203275,-4.824642715985706,-8.411754561620755,32.45776373799324,-7.590243134018179,-59.23084670150152,-263.3128731554469,351.58725610616267,-386.6400239707616,32
-2.0063389701800975,-0.4395715158485202,-4.527795884466971,-7.986927027277032,31.638875457429936,-7.447717572470854,-58.19322129773522,-261.74500157518355,349.81866925819065,-385.9313434625683,33
-2.1344101484366917,-0.4635023172460082,-4.739460242370449,-8.289910046179248,32.22078387217504,-7.548856059724349,-58.92934142202715,-262.85377894956616,351.0690249643027,-386.431830199605,34
-1.9688167491997677,-0.4323973735614598,-4.465147647288365,-7.896674331263418,31.461030023198436,-7.416522314532618,-57.96574821416676,-261.3952185404137,349.4234743252739,-385.7720605758626,35
-2.083996100720752,-0.4540645049663434,-4.656342927906749,-8.171149234059383,31.99388191358379,-7.509492764875049,-58.64295544718511,-262.42426086820814,350.58485617137865,-386.2383124662262,36
-2.0569827540960723,-0.4490214881846256,-4.612509204072201,-8.109236708455741,31.88002523086649,-7.490022106528978,-58.501697688113566,-262.21944497354536,350.3547192694535,-386.1474135907611,37
-2.1239325715226243,-0.46142151370862805,-4.720493903153658,-8.26112122594412,32.154822346499756,-7.53671599497153,-58.84002615969214,-262.70239651835647,350.89655231634424,-386.3602113242847,38
-2.040236348378996,-0.44597562376122196,-4.583999065831127,-8.067530551004396,31.795046392654903,-7.4749468714615706,-58.39153750376248,-262.0458836754072,350.15819782847313,-386.06758066617545,39
-2.0397934610440953,-0.4458435090046162,-4.584107395911491,-8.068572936069824,31.802090842121896,-7.476487717839315,-58.40320638636712,-262.0713711999111,350.1877673499087,-386.0806297101177,40
-1.9274431688748097,-0.4245261872444635,-4.395229483897496,-7.795073669252638,31.255838705061215,-7.380225752437259,-57.70063552196034,-260.9799868799758,348.95355580296206,-385.5815222849715,41
-1.8648687787889164,-0.41260778715801194,-4.289559556818553,-7.64160337308764,30.946283218859598,-7.325491802521905,-57.30087810225391,-260.3544094168295,348.24564082447506,-385.294560081647,42
-1.7237944963624863,-0.3873527959600078,-4.048341387029987,-7.2874984343307885,30.219812044593215,-7.196334619052039,-56.356552979724945,-258.8591622970343,346.55181417608014,-384.6053465242357,43
-1.6536727918502585,-0.37432217678679863,-3.9282203768995623,-7.111160490049978,29.854926591858806,-7.131269208245835,-55.88052219555467,-258.1004973914337,345.69189306028056,-384.2547142275779,44
-1.4984573395967802,-0.34531353067467313,-3.66311964243592,-6.722849544333316,29.055352931739794,-6.988924578067862,-54.83934011096112,-256.44647715948736,343.8176293517775,-383.4912359367649,45
-1.316296229383199,-0.31122426151889854,-3.3483234382881526,-6.2580715261777,28.075868700262774,-6.813206049112173,-53.55208911511415,-254.3678956333289,341.4588665324059,-382.5253984033193,46
-1.0898742173329024,-0.26859754884432474,-2.957611554985468,-5.681882349605174,26.863834045159777,-6.59587911070725,-51.9602260721094,-251.8000284926844,338.545107573535,-381.33264687538366,47
-0.4658444205256057,-0.15221717492827916,-1.888914636457903,-4.113345242476896,23.614480109678972,-6.016271283244215,-47.71766387235716,-245.0252709702137,330.86433608594194,-378.1981478275966,48
0.3181686221365905,-0.00627862052524416,-0.546659381508767,-2.1435438716356767,19.536510372836172,-5.288894172373403,-42.39412435056278,-236.5253805880067,321.227780410348,-374.26545354814243,49
0.14119151196624827,-0.037410627460347755,-0.8400027902146447,-2.565374912208704,20.35200423853494,-5.429835820995649,-43.429986304034,-238.0992952475648,323.0055980931777,-374.98044793315563,50
-0.8076876110439678,-0.2140516319021569,-2.4542099043661394,-4.9239298835861,25.172886801006783,-6.286079153614764,-49.691319422851784,-248.0062551204527,334.22836615037,-379.54729753732994,51
-1.019427642049895,-0.25280028279318206,-2.8072335297029114,-5.432847101971699,26.16936998198986,-6.460013684996175,-50.96298215659389,-249.95452014347188,336.4294906850587,-380.43399009615575,52
-1.707057118225995,-0.382561489784738,-3.9714582446456763,-7.127370265137514,29.601387394783448,-7.068114674423511,-55.40293887400252,-256.927812283772,344.32298767918843,-383.63765453656373,53
-1.9248598478928638,-0.4228869955601142,-4.334372827496644,-7.650027070388128,30.62265713045756,-7.24653788331354,-56.70454193284389,-258.9163353981965,346.5685745034671,-384.5410017926568,54
-2.457909792730763,-0.5223757602614278,-5.232454718350517,-8.953148230872774,33.2292702755656,-7.706486346075125,-60.058643390929724,-264.13168384233967,352.46655705900685,-386.9266365433369,55
-2.663958095856031,-0.560341776742052,-5.575109992850946,-9.445970647742733,34.18613421332554,-7.873365764248239,-61.27444806014528,-265.97787759016904,354.5500628350724,-387.7628741989973,56
-3.094070166680768,-0.639148567482927,-6.296605728329145,-10.490303368931654,36.24957764793872,-8.235902196620001,-63.915422154757465,-270.0431382990231,359.1430911059876,-389.61433415549993,57
-3.2816391060211645,-0.6729787998830219,-6.608184112415528,-10.938374701682687,37.11398702318674,-8.386328144042245,-65.01034456294094,-271.69552427724403,361.0067126729549,-390.36063663559105,58
-3.6319250419030453,-0.7369166063182271,-7.193258023880371,-11.782757628611895,38.76532461535974,-8.675394279337063,-67.11440427769878,-274.90665475178236,364.6318091436748,-391.81763621725275,59
