Data1,Data2,Data3,Data4,Data5,Data6,Data7,Data8,Data9,Data10,Index
-21.89852533549068,-9.675136303610202,-97.83135916516744,-97.82581774512019,-0.578267242079976,-233.93774956000954,-10.417130812229846,-262.5824728753249,368.1220232348871,2.4341994336451847,0
-21.74632681362293,-9.668023212167174,-97.42898775892077,-97.40657288931952,-0.4541743757280003,-233.42805494362068,-10.31902074299646,-262.42194801861905,367.84858738898686,2.493523517210382,1
-21.67309547246903,-9.540670474514272,-97.01542893896286,-97.25653743916226,-0.6910054437262476,-232.78387049733814,-10.460392261894338,-262.08892749321825,367.58806553346,2.3746109448343247,2
-21.275725130800296,-9.42048423052031,-95.78141298678986,-96.2000828375971,-0.6086963563603802,-231.1196582199775,-10.35736616015157,-261.4575178335367,366.76386456605576,2.4096593552700134,3
-20.539122237027907,-9.50302347559422,-94.03071502107446,-94.10593795458705,0.279353467800674,-229.00771420807698,-9.696718009190361,-260.91489199469663,365.545501632507,2.8423409517070803,4
-20.497328314532147,-9.162231520527616,-93.3264452816162,-94.13613195672671,-0.49619150226945713,-227.78150171294013,-10.183234587644561,-260.1727122703441,365.116457231425,2.457761364547787,5
-21.158367884189943,-8.82218978150357,-94.43265598567896,-96.13656384912183,-1.9360287758954433,-228.82866592218753,-11.187179160081723,-260.1100381503833,365.9389363422077,1.7473712528612426,6
-21.77624128277856,-8.733573632538386,-95.86747305908584,-97.90582467302471,-2.733150547406795,-230.5378696281036,-11.776912577921772,-260.5214894494662,366.9430012746033,1.3556656746472295,7
-22.089603148863,-8.858659806114161,-96.89147889235986,-98.72371424589404,-2.725122495625176,-231.9443998261931,-11.81180923724804,-261.08080872202834,367.6230060899316,1.3641529856549024,8
-22.104954414904107,-9.200295731548477,-97.52687814617643,-98.6084929821732,-1.9113705412960296,-233.0821434355034,-11.292624336457838,-261.8026064383846,367.99676520609694,1.7730811823322439,9
-22.157395354632605,-9.340006078553168,-97.90347405879827,-98.68816731538645,-1.6214675866325476,-233.69276587332467,-11.113502919291877,-262.14083802524107,368.22916094082854,1.9194606580284392,10
-22.100787307858333,-9.419903021803904,-97.90051432123711,-98.4977615122384,-1.377522635151294,-233.76913446759923,-10.951094140261286,-262.2517621375702,368.21330441290786,2.040051466005713,11
-22.047490780167617,-9.491167963461965,-97.89024670832006,-98.31978757495789,-1.1573775706799145,-233.82763517329,-10.804298159712365,-262.34768288487106,368.1939750457459,2.1487496568427455,12
-21.994487429162337,-9.560213228011225,-97.87553958797629,-98.14234435016688,-0.9426096957705408,-233.87822623823465,-10.660952342267866,-262.4386508365614,368.1719978152155,2.2546994089011267,13
-22.139530280201505,-9.36547453500796,-97.90305086671776,-98.62802005048806,-1.5438679631948022,-233.71777129446986,-11.061852429114339,-262.176412896872,368.22445911047276,1.9578349005841127,14
-22.069789175609877,-9.398290972015621,-97.78320389756965,-98.42146631693274,-1.4009833100311009,-233.60093170582795,-10.96227945352279,-262.1773785843598,368.1370650120614,2.0277008734181767,15
-22.116980272930565,-9.332530495483745,-97.7883257624286,-98.58113621637332,-1.602807295307446,-233.5414547456867,-11.096815448548393,-262.0870041341507,368.1519921808067,1.9278536716783947,16
-22.141437944900684,-9.300421981788125,-97.79429286024636,-98.66288878944334,-1.7026667448711157,-233.5167141700786,-11.163531010375648,-262.04412503540635,368.1616500229005,1.8784442360050622,17
-22.06392890258055,-9.254471655170416,-97.51655923858137,-98.47013434772806,-1.7425493587085983,-233.12361676106764,-11.179706295648216,-261.87507926720906,367.9802324951959,1.856780904044915,18
-22.422564209425044,-8.014543421189703,-96.27494149471083,-100.04587199553694,-5.088536046364147,-230.32146940083655,-13.369101427920015,-259.6475425910125,367.351404970454,0.18005061915003898,19
-22.620544999356966,-7.640882954408766,-96.1329631143785,-100.77659093393764,-6.1883148208375705,-229.76392819500722,-14.101471692407397,-259.05640116688403,367.3209785955551,-0.37326061339216005,20
-22.681947835064918,-7.293446114133894,-95.68280954778167,-101.1084668066928,-7.0926690859635775,-228.8452265762453,-14.69007691971759,-258.38751857970647,367.0714793679292,-0.8292784593046344,21
-23.176256181034837,-6.413448710905252,-95.422724793385,-102.92395685557736,-9.734397755859396,-227.61316653383986,-16.461287635303858,-256.999633609168,367.0513722202114,-2.1709556605024902,22
-23.27674590150044,-6.353161226632464,-95.58166167744619,-103.2483194514362,-9.991558995456964,-227.74969512697342,-16.644937531802107,-256.96342118432517,367.1764117106051,-2.3060931170282144,23
-23.674993483689967,-5.3568684395492,-94.88323128016684,-104.89078899975988,-12.878065178899426,-225.83395470480835,-18.58086413718253,-255.20379577413755,366.88262118511614,-3.7983115002569496,24
-23.83801782629724,-4.815731251281775,-94.3686911989413,-105.64650843981501,-14.414277925899246,-224.61721638589964,-19.61253758909297,-254.18171503793872,366.63221569818194,-4.603284927005854,25
-23.97418358634025,-4.330928812052827,-93.87534814958536,-106.27860953983665,-15.765780017512517,-223.48353256522321,-20.51398270014317,-253.25931547112512,366.3768940054568,-5.305760388795024,26
-24.125218626204155,-3.846204060763337,-93.41912096169126,-106.95002605241098,-17.13076105854876,-222.3928148086779,-21.425911736303334,-252.3480659899268,366.1438934362008,-6.01513050812001,27
-24.389254989635543,-2.78869557868023,-92.26478205573034,-108.26931570684508,-20.095972678408845,-219.79845059932035,-23.417701282641442,-250.26157986661244,365.5332180544075,-7.581728067072921,28
-24.690458792198967,-3.1818212114774287,-93.6638228529438,-108.73064114156539,-19.196346038459495,-221.98734474614037,-22.793081881997065,-251.49823781504753,366.3652716846824,-7.016304101859393,29
-25.02607712220406,-3.569623496281327,-95.13024343490798,-109.27062316013755,-18.328843682720716,-224.25105701664512,-22.18891390753631,-252.7549271942181,367.23673761495803,-6.46194845019435,30
-25.751720545900522,-3.4619628452060187,-96.71802610356987,-111.11741920515922,-19.04614670541907,-226.13245460478117,-22.656799556845268,-253.31287194606838,368.2591244296735,-6.711150939034558,31
-26.283826691673664,-3.6850743133158192,-98.3951551209076,-112.27715519127663,-18.767791535660912,-228.482791496682,-22.457320536989588,-254.40125775404118,369.2980306564586,-6.454084650230231,32
-27.1229488640602,-3.227081565979026,-99.67782013315863,-114.66381574699489,-20.52305460910205,-229.60084633040705,-23.635740180914166,-254.28013007001704,370.18336667733115,-7.263839779830171,33
-27.151170064997363,-2.8182124034551,-99.044701984707,-114.98639908115932,-21.627583724746945,-228.3535861186062,-24.380307467339435,-253.38037907364077,369.8222389455534,-7.863744075290146,34
-27.120267047975467,-2.3439424316122364,-98.15339261073824,-115.20276973330657,-22.87108571774434,-226.70710667039765,-25.220050833601185,-252.2637478691413,369.30165922971304,-8.552021010804518,35
-28.103960859543715,-2.171420478038312,-100.23542487084346,-117.6842431386317,-23.90098211492108,-229.10642987695175,-25.89000453346788,-252.92824044578515,370.61316716273257,-8.921973940333194,36
-29.22516204000862,-2.176472042599592,-102.94780265226511,-120.3734940823739,-24.53068125992595,-232.47906292620016,-26.28423681166524,-254.13665764493825,372.29067689937955,-9.044027170719993,37
-29.731703897124074,-2.1938637659247657,-104.19666314087542,-121.57535765211496,-24.77400660455078,-234.04519549315262,-26.434390851609425,-254.71329062461487,373.0584477490176,-9.076890865986003,38
